size,n_vars,method,test,gurobi_obj,gurobi_time,gurobi_gap,quantum_obj,quantum_time,qpu_time,gap_percent,speedup
5,90,Clique Decomp,Statistical,4.078209151759545,300.0400047302246,12.11890404504969,3.5993308622544093,20.605209946632385,0.5363886000000001,11.742367095089351,14.561366057775192
5,90,Spatial Temporal,Statistical,4.078209151759545,300.0400047302246,12.11890404504969,3.326916770097559,29.726816415786743,0.7654885200000001,18.42211504375249,10.093243774697823
10,180,Clique Decomp,Statistical,7.174692355363064,300.07608342170715,4286.270631853658,6.084280121941886,35.65050208568573,1.0727724,15.198034694910618,8.417162897186593
10,180,Spatial Temporal,Statistical,7.174692355363064,300.07608342170715,4286.270631853658,5.906518518959828,44.16689896583557,1.279787800000001,17.675654558976024,6.794139739215675
15,270,Clique Decomp,Statistical,11.526557122912862,300.1095839738846,10.377636439615994,9.92520558639103,47.78830802440643,1.6091718000000006,13.892713318000343,6.2799792748597145
15,270,Spatial Temporal,Statistical,11.526557122912862,300.1095839738846,10.377636439615994,10.03257492477374,47.05679392814636,1.6091954000000008,12.961218013393921,6.377603719287349
20,360,Clique Decomp,Statistical,14.887555626323916,300.145810008049,3530.3986320893828,12.537017096700446,57.234320640563965,2.1455700000000006,15.78861291014953,5.24415781735208
20,360,Spatial Temporal,Statistical,14.887555626323916,300.145810008049,3530.3986320893828,11.949682678138695,62.10627353191376,2.18692608,19.733749595471036,4.832777639666578
25,2025,Hierarchical Quantum,Hierarchical,12.322366321050083,300.29483902454376,5.037390230155461,28.928124879451328,34.30958390235901,0.59553,134.76111751388137,8.752506001796673
50,4050,Hierarchical Quantum,Hierarchical,23.581251663185185,300.6338174343109,2.5665100284150393,55.13193688245534,69.60863947868347,1.1910665999999999,133.79563421786798,4.3189152910591675
100,8100,Hierarchical Quantum,Hierarchical,46.085942684031465,300.93789649009705,1.9523773006427623,106.03738260037518,136.00442445278168,2.3821144000000003,130.0861747092277,2.212706665249536
