source,scenario,method,n_farms,n_vars,n_foods,solve_time,build_time,obj_value,gap,n_quadratic,n_constraints,status,time_category,farms_per_food
hardness_analysis,3farms_100ha_total,gurobi,3,54,6,0.1833598613739013,0.0125567913055419,1.5873034262311303,0.0,540,24,OPTIMAL,FAST,0.5
hardness_analysis,5farms_100ha_total,gurobi,5,90,6,0.3582606315612793,0.0250606536865234,1.6215778518452049,0.0072984243498892,1440,32,OPTIMAL,FAST,0.8333333333333334
hardness_analysis,7farms_100ha_total,gurobi,7,126,6,0.730072021484375,0.0354838371276855,1.6128434945723027,0.0090844744503433,2340,40,OPTIMAL,FAST,1.1666666666666667
hardness_analysis,10farms_100ha_total,gurobi,10,180,6,0.7826833724975586,0.0523338317871093,1.6208093425193937,0.009634510631167,3420,52,OPTIMAL,FAST,1.6666666666666667
hardness_analysis,12farms_100ha_total,gurobi,12,216,6,2.022646903991699,0.0623092651367187,1.615761816714209,0.0086051237752148,4104,60,OPTIMAL,FAST,2.0
hardness_analysis,15farms_100ha_total,gurobi,15,270,6,5.295665740966797,0.0765702724456787,1.6085092114297626,0.0089682044004383,5076,72,OPTIMAL,FAST,2.5
hardness_analysis,18farms_100ha_total,gurobi,18,324,6,3.440866470336914,0.0905718803405761,1.610842418084034,0.0096325884034806,5724,84,OPTIMAL,FAST,3.0
hardness_analysis,20farms_100ha_total,gurobi,20,360,6,6.880854368209839,0.0999891757965087,1.5982580405692866,0.009539847601298,6624,92,OPTIMAL,FAST,3.3333333333333335
hardness_analysis,22farms_100ha_total,gurobi,22,396,6,8.53240156173706,0.1101045608520507,1.5943863657562212,0.0081170052966346,7200,100,OPTIMAL,FAST,3.6666666666666665
hardness_analysis,25farms_100ha_total,gurobi,25,450,6,10.594918251037598,0.1249070167541503,1.590332701310263,0.0084864454859394,8172,112,OPTIMAL,MEDIUM,4.166666666666667
hardness_analysis,30farms_100ha_total,gurobi,30,540,6,14.191613912582396,0.1503055095672607,1.5844040400506203,0.0092964089599745,9828,132,OPTIMAL,MEDIUM,5.0
hardness_analysis,35farms_100ha_total,gurobi,35,630,6,48.22064185142517,0.1711263656616211,1.5669047425500209,0.009717105817388,11268,152,OPTIMAL,MEDIUM,5.833333333333333
hardness_analysis,40farms_100ha_total,gurobi,40,720,6,35.1819269657135,0.1938841342926025,1.566534608591553,0.0090719362566576,12816,172,OPTIMAL,MEDIUM,6.666666666666667
hardness_analysis,50farms_100ha_total,gurobi,50,900,6,99.873352766037,0.2454712390899658,1.5478087071955873,0.0096547588687875,15912,212,OPTIMAL,MEDIUM,8.333333333333334
hardness_analysis,60farms_100ha_total,gurobi,60,900,6,270.67705607414246,0.2412571907043457,1.5492370657101393,0.0097619191693718,15804,212,OPTIMAL,SLOW,10.0
hardness_analysis,70farms_100ha_total,gurobi,70,900,6,154.6051163673401,0.2395780086517334,1.549991343625629,0.0096955804090932,15912,212,OPTIMAL,SLOW,11.666666666666666
hardness_analysis,80farms_100ha_total,gurobi,80,900,6,206.23973512649536,0.2419238090515136,1.5493295826311402,0.0090165601702112,15912,212,OPTIMAL,SLOW,13.333333333333334
hardness_analysis,90farms_100ha_total,gurobi,90,900,6,220.1092264652252,0.2415125370025634,1.549748393533947,0.0080117303140555,16020,212,OPTIMAL,SLOW,15.0
hardness_analysis,100farms_100ha_total,gurobi,100,900,6,198.0033700466156,0.236835241317749,1.5520504808043158,0.0096443741040111,15912,212,OPTIMAL,SLOW,16.666666666666668
