formulation,n_farms,method,n_vars,gurobi_obj,gurobi_time,quantum_obj,quantum_time,gap_pct,speedup
A (6 families),4,clique_qpu,20,0.49,0.02,0.5,2.36,1.62,0.01
A (6 families),4,direct_qpu,20,0.49,0.02,0.51,2.62,4.04,0.01
A (6 families),5,clique_decomp,90,6.17,100.1,5.28,18.21,14.35,5.5
A (6 families),5,quantum_generic,90,4.02,0.33,4.63,2.38,15.27,0.14
A (6 families),5,spatial_temporal,90,4.08,300.05,3.26,28.31,20.17,10.6
A (6 families),10,clique_decomp,180,8.69,100.11,7.02,30.5,19.22,3.28
A (6 families),10,quantum_generic,180,6.26,0.59,5.01,2.56,19.94,0.23
A (6 families),10,spatial_temporal,180,7.17,300.08,6.07,44.72,15.44,6.71
A (6 families),15,clique_decomp,270,11.53,300.12,9.89,49.94,14.2,6.01
A (6 families),15,quantum_generic,270,8.24,0.83,5.4,2.74,34.46,0.3
A (6 families),15,spatial_temporal,270,11.53,300.12,9.95,51.48,13.7,5.83
A (6 families),20,clique_decomp,360,12.78,100.2,12.76,50.61,0.15,1.98
A (6 families),20,quantum_generic,360,10.43,1.21,5.78,2.92,44.57,0.41
A (6 families),20,spatial_temporal,360,14.89,300.17,12.84,54.26,13.75,5.53
A (6 families),25,quantum_generic,450,12.45,0.96,6.16,3.1,50.5,0.31
A (6 families),50,quantum_generic,900,23.48,0.75,8.07,4.0,65.61,0.19
A (6 families),90,quantum_generic,1620,23.48,0.72,11.14,5.44,52.57,0.13
A (6 families),225,quantum_generic,4050,23.48,0.7,21.46,10.3,8.58,0.07
B (27→6),4,quantum_generic,324,2.87,395.03,5.63,2.85,95.97,138.7
B (27→6),11,quantum_generic,891,6.01,419.17,8.04,3.98,33.81,105.27
B (27→6),20,quantum_generic,1620,10.07,306.25,11.14,5.44,10.63,56.3
B (27→6),25,hierarchical,450,12.32,300.29,28.93,34.31,134.76,8.75
B (27→6),25,quantum_generic,2025,12.32,306.17,12.86,6.25,4.39,48.99
B (27→6),30,quantum_generic,2430,14.56,310.75,14.58,7.06,0.12,44.02
B (27→6),40,quantum_generic,3240,18.12,485.11,18.02,8.68,0.57,55.89
B (27→6),50,hierarchical,900,23.58,300.63,55.13,69.61,133.8,4.32
B (27→6),50,quantum_generic,4050,23.57,305.95,21.46,10.3,8.92,29.7
B (27→6),90,quantum_generic,7290,41.04,68.48,35.23,16.78,14.15,4.08
B (27→6),100,hierarchical,1800,46.09,300.94,106.04,136.0,130.09,2.21
B (27→6),225,quantum_generic,18225,101.2,122.75,81.71,38.65,19.27,3.18
