Scenario,N_Farms,Gurobi_Optimal,QPU_Reported,QPU_True,Penalty_Impact,Violations,Repaired_Obj,Repaired_Viols,Gap_True_to_Gurobi,Gap_Repaired_to_Gurobi,Gap_Reported_to_Gurobi
rotation_micro_25,5,6.17,-5.5027336998,2.6,-8.1027336998,2,3.2000000000000006,0,-3.57,-2.9699999999999993,-11.6727336998
rotation_small_50,10,8.69,-3.875605295,2.7,-6.575605295,3,3.0000000000000013,0,-5.989999999999999,-5.689999999999998,-12.565605295
rotation_15farms_6foods,15,9.68,-5.095623393,2.7333333333,-7.8289567263,4,3.0000000000000027,0,-6.9466666667,-6.679999999999997,-14.775623393
rotation_medium_100,20,12.78,-24.8898869379,2.6,-27.4898869379,8,3.049999999999997,0,-10.18,-9.730000000000002,-37.669886937899996
rotation_25farms_6foods,25,13.45,-31.1469081706,2.76,-33.9069081706,8,3.040000000000002,0,-10.69,-10.409999999999997,-44.5969081706
rotation_large_200,50,21.57,-37.4706300623,2.8,-40.2706300623,11,3.0200000000000022,0,-18.77,-18.549999999999997,-59.0406300623
rotation_50farms_6foods,50,26.92,-50.96162089,2.8,-53.76162089,18,3.0400000000000023,0,-24.12,-23.88,-77.88162089
rotation_75farms_6foods,75,40.37,-70.1486461664,2.8666666667,-73.0153128331,23,3.013333333333328,0,-37.5033333333,-37.35666666666667,-110.5186461664
rotation_100farms_6foods,100,53.77,-77.7837893222,2.9,-80.6837893222,20,2.99999999999998,0,-50.870000000000005,-50.770000000000024,-131.5537893222
