scenario,n_vars,n_farms,n_foods,formulation,qpu_obj_raw,qpu_benefit,gurobi_obj,benefit_advantage,benefit_ratio,violations,violation_rate,qpu_wall_time,qpu_pure_time,gurobi_time,gurobi_timeout,gurobi_mip_gap
rotation_micro_25,90,5,6,6-Family,-4.863684770998783,4.863684770998783,6.168884162643764,-1.3051993916449804,0.7884221267196532,1,6.666666666666667,7.926696538925171,0.11909148,6.251146078109741,False,0.0
rotation_small_50,180,10,6,6-Family,-21.786671592696617,21.786671592696617,8.687446707523605,13.099224885173012,2.507833696847736,7,23.333333333333332,16.088295221328735,0.23220976000000004,100.12289690971375,True,307.1263938994301
rotation_15farms_6foods,270,15,6,6-Family,-26.216094322837655,26.216094322837655,9.67541763098427,16.540676691853385,2.7095568711043554,10,22.22222222222222,17.266528606414795,0.24408296,26.283005952835083,False,361.40361437185254
rotation_medium_100,360,20,6,6-Family,-39.243209384127354,39.243209384127354,12.784948306474519,26.458261077652836,3.069485182372925,13,21.666666666666668,25.07223153114319,0.36151004000000003,100.19068789482117,True,260.19065886334533
rotation_25farms_6foods,450,25,6,6-Family,-52.67387666803894,52.67387666803894,13.45030359981726,39.22357306822168,3.9161849602230974,17,22.666666666666664,26.157235622406006,0.37103724000000005,100.19656205177307,True,573.1943726910243
rotation_50farms_6foods,900,50,6,6-Family,-109.66745444448111,109.66745444448111,26.91964898820862,82.74780545627249,4.0738812936423425,34,22.666666666666664,52.281041383743286,0.7465292800000002,100.70342707633972,True,215.83888487839232
rotation_large_200,900,50,6,6-Family,-94.63941019791295,94.63941019791295,21.566293977258738,73.07311622065421,4.388301963133234,32,21.333333333333336,75.68951106071472,0.7465300800000001,100.38440227508545,True,215.26721172170755
rotation_75farms_6foods,1350,75,6,6-Family,-161.4393698688119,161.4393698688119,40.370088048114894,121.069281820697,3.9989848344249626,54,24.0,78.68275475502014,1.09282772,100.7842071056366,True,215.88318584479288
rotation_100farms_6foods,1800,100,6,6-Family,-229.14286690955802,229.14286690955802,53.76509665723643,175.3777702523216,4.261926066466336,79,26.333333333333332,106.83110427856445,1.4871261600000005,100.72457098960876,True,176410.62291704954
rotation_25farms_27foods,2025,25,27,27-Food,-57.6042144530338,57.6042144530338,11.675710988812511,45.928503464221286,4.933679371494317,16,21.333333333333336,29.879923105239868,0.37103724,103.75878572463989,True,258.0425445049741
rotation_50farms_27foods,4050,50,27,27-Food,-102.61020652436801,102.61020652436801,23.35510608408407,79.25510044028394,4.393480644230271,32,21.333333333333336,59.27031111717224,0.7465284800000002,111.98359513282776,True,257.84964422261675
rotation_100farms_27foods,8100,100,27,27-Food,-235.11386057524436,235.11386057524436,46.68364623525099,188.43021433999337,5.036321700118382,74,24.666666666666668,177.55841398239136,1.4871229600000007,134.0198700428009,True,379.4806764302049
rotation_200farms_27foods,16200,200,27,27-Food,-500.5923285338888,500.5923285338888,93.51578256484049,407.0765459690483,5.353025070252671,157,26.166666666666664,323.19892954826355,2.8713468400000015,142.15471386909485,True,296.5971722539057
