scenario,formulation,n_farms,n_foods,n_vars,qpu_objective,qpu_total_time,qpu_access_time,gurobi_objective,gurobi_time,gurobi_status,gurobi_timeout,gurobi_mip_gap,gap,speedup
rotation_micro_25,6-Family,5,6,90,4.863684770998783,7.926696538925171,0.11909148,6.168884162643764,6.251146078109741,optimal,False,0.0,21.15778732803468,0.7886193255175847
rotation_small_50,6-Family,10,6,180,21.786671592696617,16.088295221328735,0.23220976000000004,8.687446707523605,100.12289690971375,timeout,True,307.1263938994301,150.78336968477362,6.223337869694101
rotation_15farms_6foods,6-Family,15,6,270,26.216094322837655,17.266528606414795,0.24408296,9.67541763098427,26.283005952835083,feasible,False,361.40361437185254,170.95568711043555,1.5221939830494082
rotation_medium_100,6-Family,20,6,360,39.243209384127354,25.07223153114319,0.36151004000000003,12.784948306474519,100.19068789482117,timeout,True,260.19065886334533,206.9485182372925,3.996081791537799
rotation_25farms_6foods,6-Family,25,6,450,52.67387666803894,26.157235622406006,0.37103724000000005,13.45030359981726,100.19656205177307,timeout,True,573.1943726910243,291.6184960223097,3.830548590767205
rotation_50farms_6foods,6-Family,50,6,900,109.66745444448111,52.281041383743286,0.7465292800000002,26.91964898820862,100.70342707633972,timeout,True,215.83888487839232,307.38812936423426,1.926193977988612
rotation_large_200,6-Family,50,6,900,94.63941019791295,75.68951106071472,0.7465300800000001,21.566293977258738,100.38440227508545,timeout,True,215.26721172170755,338.8301963133233,1.3262656987513315
rotation_75farms_6foods,6-Family,75,6,1350,161.4393698688119,78.68275475502014,1.09282772,40.370088048114894,100.7842071056366,timeout,True,215.88318584479288,299.89848344249623,1.2808932201144918
rotation_100farms_6foods,6-Family,100,6,1800,229.14286690955802,106.83110427856445,1.4871261600000005,53.76509665723643,100.72457098960876,timeout,True,176410.62291704954,326.19260664663364,0.9428393693934608
rotation_25farms_27foods,27-Food,25,27,2025,57.6042144530338,29.879923105239868,0.37103724,11.675710988812511,103.75878572463989,timeout,True,258.0425445049741,393.36793714943167,3.4725251922232796
rotation_50farms_27foods,27-Food,50,27,4050,102.61020652436801,59.27031111717224,0.7465284800000002,23.35510608408407,111.98359513282776,timeout,True,257.84964422261675,339.3480644230271,1.889370800019017
rotation_100farms_27foods,27-Food,100,27,8100,235.11386057524436,177.55841398239136,1.4871229600000007,46.68364623525099,134.0198700428009,timeout,True,379.4806764302049,403.6321700118382,0.7547931243409945
rotation_200farms_27foods,27-Food,200,27,16200,500.5923285338888,323.19892954826355,2.8713468400000015,93.51578256484049,142.15471386909485,timeout,True,296.5971722539057,435.3025070252671,0.43983658630238986
